product_category,pdt_SUB_CATEGORY,barcode_ean13,site_key,DATE,CA
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_5221195708945,f_f_8429768983288,2023-09-22,10.99
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_9318461820718,f_f_8429768983288,2023-04-07,24.45
ALCOOLS,GIN-VODKA-TEQUILA,f_f_0129311328020,f_f_8429768983288,2023-07-20,30.23
ALCOOLS,COCKTAILS,f_f_0180623959258,f_f_8429768983288,2023-06-23,12.99
NON GAZEIFIES,BOISSONS CHOCOLATEES,f_f_7766385627470,f_f_8429768983288,2023-07-21,48.38
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_4861157761246,f_f_8429768983288,2023-05-28,36.89
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_2961809114580,f_f_8429768983288,2023-06-23,42.1
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_9213413667222,f_f_8429768983288,2023-08-04,26.31
ALCOOLS,GIN-VODKA-TEQUILA,f_f_0979978734128,f_f_8429768983288,2023-10-19,1.25
EAUX PLATES,EAUX PLATES,f_f_3650046707578,f_f_8429768983288,2023-03-07,14.54
APERITIFS,CREMES DE FRUITS,f_f_5653167998199,f_f_8429768983288,2023-01-01,13.54
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_3109034041625,f_f_8429768983288,2023-04-18,43.12
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_2756367129356,f_f_8429768983288,2023-02-14,22.29
APERITIFS,SANS ALCOOL,f_f_3123195759458,f_f_8429768983288,2023-05-31,47.97
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_0722525324316,f_f_8429768983288,2023-08-23,47.58
APERITIFS,SANS ALCOOL,f_f_3461359985399,f_f_8429768983288,2023-04-02,15.56
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_9588118294975,f_f_8429768983288,2023-07-12,29.65
VQPRD BLANCS,VINS D ALSACE,f_f_9823911381935,f_f_8429768983288,2023-09-02,50.11
APERITIFS,ANISES,f_f_6513683763352,f_f_8429768983288,2023-06-13,34.82
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_0644190206561,f_f_8429768983288,2023-08-20,8.8
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_1365291117189,f_f_8429768983288,2023-01-26,21.14
APERITIFS,CREMES DE FRUITS,f_f_6456565538474,f_f_8429768983288,2023-02-01,12.15
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_1302788860128,f_f_8429768983288,2023-02-26,9.67
NON GAZEIFIES,MELANGES DE FRUITS,f_f_3039213765823,f_f_8429768983288,2023-09-05,5.6
APERITIFS,SANS ALCOOL,f_f_5767595957410,f_f_8429768983288,2023-01-22,36.31
APERITIFS,SANS ALCOOL,f_f_0856171172820,f_f_8429768983288,2023-04-13,13.53
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_0764019992984,f_f_8429768983288,2023-09-04,4.64
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_9930010545783,f_f_8429768983288,2023-03-21,28.79
APERITIFS,ANISES,f_f_3002266505821,f_f_8429768983288,2023-01-06,5.73
ALCOOLS,GIN-VODKA-TEQUILA,f_f_4809042396746,f_f_8429768983288,2023-02-26,1.79
APERITIFS,SANS ALCOOL,f_f_2432670943406,f_f_8429768983288,2023-01-19,8.46
ALCOOLS,GIN-VODKA-TEQUILA,f_f_7338383348277,f_f_8429768983288,2023-07-30,28.65
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_5603098360879,f_f_8429768983288,2023-01-30,29.64
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_2190668310585,f_f_8429768983288,2023-07-09,43.51
NON GAZEIFIES,MELANGES DE FRUITS,f_f_2345007627910,f_f_8429768983288,2023-09-29,47.08
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_7661389509107,f_f_8429768983288,2023-05-29,22.8
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_6409882325661,f_f_8429768983288,2023-07-01,20.06
ALCOOLS,COCKTAILS,f_f_8055734008305,f_f_8429768983288,2023-04-03,2.03
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_1405469704077,f_f_8429768983288,2023-03-23,19.32
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_9010637104119,f_f_8429768983288,2023-09-27,13.04
CHAMPAGNES,CHAMPAGNES ROSES,f_f_3484436977452,f_f_8429768983288,2023-07-13,18.76
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_9404336150803,f_f_8429768983288,2023-02-09,5.19
BIERES ET PANACHES,BIERES MODERNES,f_f_2108673616042,f_f_8429768983288,2023-01-24,22.35
EAUX AROMATISEES,EAUX ARO GAZEUSE ET GAZEIFIEE,f_f_6306984690812,f_f_8429768983288,2023-09-02,22.18
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_5427901226097,f_f_8429768983288,2023-03-04,28.02
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_1831840627411,f_f_8429768983288,2023-06-27,25.86
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_2944136280739,f_f_8429768983288,2023-04-22,35.68
APERITIFS,CREMES DE FRUITS,f_f_6244940333703,f_f_8429768983288,2023-07-13,15.06
EAUX AROMATISEES,EAUX ARO GAZEUSE ET GAZEIFIEE,f_f_2702029015031,f_f_8429768983288,2023-08-09,46.61
VQPRD ROUGES/HORS BORDEAUX,VINS DU BEAUJOLAIS,f_f_0503586078291,f_f_8429768983288,2023-09-06,48.85
ALCOOLS,GIN-VODKA-TEQUILA,f_f_1792891450093,f_f_8429768983288,2023-03-24,12.81
VINS DE TABLES/PAYS,VINS DE PAYS BLANCS,f_f_4851734018214,f_f_8429768983288,2023-06-01,30.63
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_8505964403550,f_f_8429768983288,2023-03-05,18.26
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_8360132623174,f_f_8429768983288,2023-09-02,33.04
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_4929787600905,f_f_8429768983288,2023-05-05,34.89
EAUX GAZEUSES,EAUX GAZEUSES ET GAZEIFIEES,f_f_4927117696819,f_f_8429768983288,2023-08-08,49.06
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_1094097397357,f_f_8429768983288,2023-03-12,3.81
ALCOOLS,GIN-VODKA-TEQUILA,f_f_1588162533981,f_f_8429768983288,2023-03-29,43.77
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_2216188917094,f_f_8429768983288,2023-03-02,43.76
VINS DE TABLES/PAYS,VINS DE TABLE BLANCS,f_f_9484698079936,f_f_8429768983288,2023-08-11,21.82
APERITIFS,CREMES DE FRUITS,f_f_9708535205716,f_f_8429768983288,2023-05-23,10.94
EAUX GAZEUSES,EAUX GAZEUSES ET GAZEIFIEES,f_f_7355645641747,f_f_8429768983288,2023-01-30,45.29
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_3180317732843,f_f_8429768983288,2023-03-10,2.92
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_3953374786346,f_f_8429768983288,2023-07-07,42.74
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_0383351396368,f_f_8429768983288,2023-08-22,32.49
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_6837167309622,f_f_8429768983288,2023-06-20,9.38
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_3432650571222,f_f_8429768983288,2023-01-10,13.9
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_9485846984119,f_f_8429768983288,2023-09-27,48.02
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_1078572938631,f_f_8429768983288,2023-02-03,14.89
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_6781444641625,f_f_8429768983288,2023-06-28,20.91
BIERES ET PANACHES,BIERES DE TRADITION,f_f_6170105353685,f_f_8429768983288,2023-03-31,18.23
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_3435518435827,f_f_8429768983288,2023-07-25,30.64
EAUX GAZEUSES,EAUX GAZEUSES ET GAZEIFIEES,f_f_3764092627909,f_f_8429768983288,2023-02-02,38.68
APERITIFS,CREMES DE FRUITS,f_f_4631956268716,f_f_8429768983288,2023-05-07,9.51
ALCOOLS,GIN-VODKA-TEQUILA,f_f_2057278463363,f_f_8429768983288,2023-10-08,2.51
VQPRD BLANCS,VQPRD BLANC PROVENCE-CORSE,f_f_0150423249880,f_f_8429768983288,2023-04-20,18.22
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_7894690326723,f_f_8429768983288,2023-05-29,14.01
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_7770816098548,f_f_8429768983288,2023-05-27,17.9
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_2796845857050,f_f_8429768983288,2023-09-13,15.03
APERITIFS,CREMES DE FRUITS,f_f_2512382749074,f_f_8429768983288,2023-08-16,36.19
APERITIFS,CREMES DE FRUITS,f_f_3150663963659,f_f_8429768983288,2023-04-07,16.51
VQPRD BORDEAUX ROUGES,GRANDS CRUS,f_f_8085333522742,f_f_8429768983288,2023-03-14,38.57
VINS DE TABLES/PAYS,VINS DE PAYS BLANCS,f_f_6371381539088,f_f_8429768983288,2023-07-15,6.35
CHAMPAGNES,CHAMPAGNES ROSES,f_f_5493287747112,f_f_8429768983288,2023-10-18,34.39
APERITIFS,CREMES DE FRUITS,f_f_0378628803489,f_f_8429768983288,2023-05-14,21.74
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_8522883727901,f_f_8429768983288,2023-04-29,48.43
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_7762458871993,f_f_8429768983288,2023-05-17,39.62
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_2795610338152,f_f_8429768983288,2023-08-30,38.88
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_7546382376386,f_f_8429768983288,2023-09-06,36.16
NON GAZEIFIES,MELANGES DE FRUITS,f_f_0777067771111,f_f_8429768983288,2023-05-07,23.76
CHAMPAGNES,CHAMPAGNES BRUTS,f_f_4971717670397,f_f_8429768983288,2023-05-01,17.5
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_7103665035806,f_f_8429768983288,2023-02-22,17.12
VINS DE TABLES/PAYS,VINS DE PAYS ROSES,f_f_7663251043511,f_f_8429768983288,2023-07-19,21.61
APERITIFS,SANS ALCOOL,f_f_1519987613923,f_f_8429768983288,2023-01-22,50.99
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_2065159563125,f_f_8429768983288,2023-08-27,20.93
APERITIFS,CREMES DE FRUITS,f_f_3901643153573,f_f_8429768983288,2023-08-12,19.71
EAUX PLATES,EAUX PLATES,f_f_7401913822568,f_f_8429768983288,2023-07-20,2.59
ALCOOLS,LIQUEUR MODERNE ET TRADITIONEL,f_f_3518206341829,f_f_8429768983288,2023-07-18,8.28
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_4402578226787,f_f_8429768983288,2023-03-20,38.98
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_4376345636324,f_f_8429768983288,2023-10-14,32.31
APERITIFS,ANISES,f_f_7059677263259,f_f_8429768983288,2023-02-25,12.24
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_1083747727217,f_f_8429768983288,2023-03-08,13.9
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_8440482452003,f_f_8429768983288,2023-04-21,23.43
APERITIFS,ANISES,f_f_2390586469819,f_f_8429768983288,2023-08-14,29.1
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_2221151088480,f_f_8429768983288,2023-01-14,18.48
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_8842326633140,f_f_8429768983288,2023-09-18,9.23
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_0056668058198,f_f_8429768983288,2023-09-08,11.01
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_7364924919590,f_f_8429768983288,2023-03-18,25.31
APERITIFS,SANS ALCOOL,f_f_6115565268292,f_f_8429768983288,2023-02-01,41.67
CIDRES,CIDRES/PETILLANTS,f_f_0637956762081,f_f_8429768983288,2023-05-07,35.76
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_3164010498466,f_f_8429768983288,2023-07-29,13.8
APERITIFS,ANISES,f_f_4305718088248,f_f_8429768983288,2023-06-28,24.21
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_7942938632768,f_f_8429768983288,2023-05-10,29.63
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_7800569093535,f_f_8429768983288,2023-06-17,38.93
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_0242916986867,f_f_8429768983288,2023-01-05,47.81
EAUX PLATES,EAUX PLATES,f_f_9479177863595,f_f_8429768983288,2023-04-01,24.1
APERITIFS,CREMES DE FRUITS,f_f_0702104411132,f_f_8429768983288,2023-01-11,32.04
VINS DE TABLES/PAYS,VINS DE PAYS ROSES,f_f_6448848976486,f_f_8429768983288,2023-04-10,39.26
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_7069564050183,f_f_8429768983288,2023-04-24,24.3
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_5340515432855,f_f_8429768983288,2023-09-16,11.83
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_2288199758249,f_f_8429768983288,2023-05-06,34.74
CIDRES,CIDRES/PETILLANTS,f_f_3401909272470,f_f_8429768983288,2023-02-01,7.49
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_1948330036421,f_f_8429768983288,2023-10-05,8.78
APERITIFS,ANISES,f_f_2549039091965,f_f_8429768983288,2023-02-09,25.33
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_9423059375171,f_f_8429768983288,2023-03-07,49.35
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_2424779740710,f_f_8429768983288,2023-01-10,24.46
VQPRD ROUGES/HORS BORDEAUX,VINS DU BEAUJOLAIS,f_f_9307185785717,f_f_8429768983288,2023-03-12,48.02
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_5918695514847,f_f_8429768983288,2023-02-15,32.18
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_6863135076661,f_f_8429768983288,2023-05-14,23.91
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_4743093280961,f_f_8429768983288,2023-10-10,43.71
APERITIFS,CREMES DE FRUITS,f_f_8292122826602,f_f_8429768983288,2023-04-17,31.27
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_2623066737789,f_f_8429768983288,2023-06-04,21.51
APERITIFS,SANS ALCOOL,f_f_5297288138005,f_f_8429768983288,2023-04-16,43.64
BIERES ET PANACHES,BIERES MODERNES,f_f_2929643122789,f_f_8429768983288,2023-03-19,30.08
APERITIFS,SANS ALCOOL,f_f_6356223647916,f_f_8429768983288,2023-06-03,15.81
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_6371957395070,f_f_8429768983288,2023-06-23,37.05
VQPRD BORDEAUX ROUGES,GRANDS CRUS,f_f_6930816846186,f_f_8429768983288,2023-01-02,39.79
APERITIFS,SANS ALCOOL,f_f_0779846643732,f_f_8429768983288,2023-07-25,28.27
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_6455467564109,f_f_8429768983288,2023-04-25,18.17
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_3736608789135,f_f_8429768983288,2023-02-23,28.69
EAUX GAZEUSES,EAUX GAZEUSES ET GAZEIFIEES,f_f_6352219520690,f_f_8429768983288,2023-02-28,34.11
APERITIFS,CREMES DE FRUITS,f_f_8183865439054,f_f_8429768983288,2023-09-09,19.98
BIERES ET PANACHES,BIERES MODERNES,f_f_6010153481841,f_f_8429768983288,2023-01-16,21.43
APERITIFS,GUIGNOLET / AUTRE BASE FRUIT,f_f_9852741974369,f_f_8429768983288,2023-02-21,15.03
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_9867880921334,f_f_8429768983288,2023-05-20,43.43
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_6366467531469,f_f_8429768983288,2023-08-26,5.52
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_6097161805630,f_f_8429768983288,2023-05-16,49.03
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_7949145073773,f_f_8429768983288,2023-07-31,24.89
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_7326488203928,f_f_8429768983288,2023-10-12,21.27
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_5177714985895,f_f_8429768983288,2023-01-14,25.16
APERITIFS,CREMES DE FRUITS,f_f_3037020273715,f_f_8429768983288,2023-09-09,44.68
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_5729454844217,f_f_8429768983288,2023-03-19,39.05
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_7820979051581,f_f_8429768983288,2023-01-18,26.13
ALCOOLS,GIN-VODKA-TEQUILA,f_f_3939146402140,f_f_8429768983288,2023-05-13,2.79
APERITIFS,CREMES DE FRUITS,f_f_7857914367575,f_f_8429768983288,2023-04-01,34.96
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_1446188659118,f_f_8429768983288,2023-08-13,12.16
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_2500717361565,f_f_8429768983288,2023-04-04,6.0
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_0935869769952,f_f_8429768983288,2023-08-11,46.64
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_2007293094776,f_f_8429768983288,2023-05-11,46.31
ALCOOLS,RHUMS ET SIROPS DE CANNE,f_f_6610272342100,f_f_8429768983288,2023-05-31,15.75
VINS DE TABLES/PAYS,VINS DE PAYS BLANCS,f_f_2767598301084,f_f_8429768983288,2023-04-22,28.9
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_0874564973618,f_f_8429768983288,2023-10-11,48.21
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_8671272164701,f_f_8429768983288,2023-07-24,2.91
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_5088104676876,f_f_8429768983288,2023-08-19,11.88
APERITIFS,SANS ALCOOL,f_f_9335978208952,f_f_8429768983288,2023-06-14,23.4
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_9313432804179,f_f_8429768983288,2023-01-29,31.65
EAUX PLATES,EAUX PLATES,f_f_2028167329992,f_f_8429768983288,2023-05-27,25.93
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_2185423170818,f_f_8429768983288,2023-07-06,37.72
EAUX PLATES,EAUX PLATES,f_f_0356840871806,f_f_8429768983288,2023-05-16,3.39
APERITIFS,CREMES DE FRUITS,f_f_5831488354386,f_f_8429768983288,2023-02-20,28.75
APERITIFS,CREMES DE FRUITS,f_f_9630488398316,f_f_8429768983288,2023-06-04,5.47
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_2919831597611,f_f_8429768983288,2023-05-13,20.65
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_4726252170617,f_f_8429768983288,2023-09-18,25.34
EAUX PLATES,EAUX PLATES,f_f_6256017226900,f_f_8429768983288,2023-02-03,9.75
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_7987514560509,f_f_8429768983288,2023-10-20,28.21
NON GAZEIFIES,MELANGES DE FRUITS,f_f_1418927626620,f_f_8429768983288,2023-02-22,4.53
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_2607197950248,f_f_8429768983288,2023-08-12,1.15
VINS DE TABLES/PAYS,VINS DE PAYS ROUGES,f_f_0907047978616,f_f_8429768983288,2023-05-19,44.84
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_7689637250342,f_f_8429768983288,2023-07-24,39.85
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_1492484292955,f_f_8429768983288,2023-01-08,34.9
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_3578527618826,f_f_8429768983288,2023-02-25,30.76
APERITIFS,CREMES DE FRUITS,f_f_2641894827632,f_f_8429768983288,2023-06-28,19.74
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_6700510876471,f_f_8429768983288,2023-08-31,46.84
ALCOOLS,PUNCHS,f_f_5506233629308,f_f_8429768983288,2023-05-24,9.71
APERITIFS,ANISES,f_f_2017829439667,f_f_8429768983288,2023-06-02,34.03
VQPRD BLANCS,VINS D ALSACE,f_f_6177360134332,f_f_8429768983288,2023-06-26,12.6
APERITIFS,CREMES DE FRUITS,f_f_2456160484699,f_f_8429768983288,2023-03-22,47.06
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_8590222808758,f_f_8429768983288,2023-01-25,47.82
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_5569952985209,f_f_8429768983288,2023-10-17,36.44
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_4322564737359,f_f_8429768983288,2023-01-25,6.68
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_4390604339726,f_f_8429768983288,2023-10-19,42.3
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_2271210210864,f_f_8429768983288,2023-07-19,16.61
APERITIFS,SANS ALCOOL,f_f_6951955567336,f_f_8429768983288,2023-07-26,33.09
APERITIFS,CREMES DE FRUITS,f_f_0328031280360,f_f_8429768983288,2023-09-14,30.83
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_3827304591426,f_f_8429768983288,2023-06-18,25.77
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_8744036306201,f_f_8429768983288,2023-08-11,37.89
CIDRES,CIDRES/PETILLANTS,f_f_7748509250016,f_f_8429768983288,2023-06-11,31.12
VQPRD ROUGES/HORS BORDEAUX,VINS DU BEAUJOLAIS,f_f_5746264665344,f_f_8429768983288,2023-05-29,16.56
APERITIFS,CREMES DE FRUITS,f_f_1821558389930,f_f_8429768983288,2023-09-16,6.71
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_8260923511782,f_f_8429768983288,2023-07-25,27.31
EAUX PLATES,EAUX PLATES,f_f_4358885947481,f_f_8429768983288,2023-01-16,24.23
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_0438380967352,f_f_8429768983288,2023-03-11,2.92
ALCOOLS,GIN-VODKA-TEQUILA,f_f_5070814090431,f_f_8429768983288,2023-01-17,37.56
