product_category,pdt_SUB_CATEGORY,barcode_ean13,site_key,DATE,CA
ALCOOLS,LIQUEUR MODERNE ET TRADITIONEL,f_f_7213886423945,f_f_5124682187813,2023-01-29,14.3
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_8414851246524,f_f_5124682187813,2023-01-08,24.71
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_2793828318201,f_f_5124682187813,2023-06-03,33.72
APERITIFS,ANISES,f_f_5518865741952,f_f_5124682187813,2023-07-30,29.43
APERITIFS,SANS ALCOOL,f_f_5754315013372,f_f_5124682187813,2023-01-05,42.44
APERITIFS,AMERS - GENTIANE ET BITTERS,f_f_7084597026318,f_f_5124682187813,2023-03-14,8.27
VINS DE TABLES/PAYS,VINS DE PAYS BLANCS,f_f_8141129871194,f_f_5124682187813,2023-08-11,30.59
APERITIFS,SANS ALCOOL,f_f_0247514552483,f_f_5124682187813,2023-04-29,31.61
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_3114404453953,f_f_5124682187813,2023-10-05,44.17
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_4775465297550,f_f_5124682187813,2023-01-03,2.22
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_1727138094761,f_f_5124682187813,2023-02-21,21.4
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_1715144661732,f_f_5124682187813,2023-10-12,1.74
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_0766553892898,f_f_5124682187813,2023-09-04,47.04
VQPRD ROUGES/HORS BORDEAUX,VINS DU VAL DE LOIRE,f_f_4530016262049,f_f_5124682187813,2023-05-01,24.71
VQPRD BLANCS,VINS D ALSACE,f_f_6700932359316,f_f_5124682187813,2023-10-08,27.97
APERITIFS,SANS ALCOOL,f_f_7703094797001,f_f_5124682187813,2023-06-09,6.93
CHAMPAGNES,CHAMPAGNES SECS - DEMI-SECS,f_f_3250034956911,f_f_5124682187813,2023-07-04,41.24
VINS DE TABLES/PAYS,VINS DE PAYS BLANCS,f_f_9799769632300,f_f_5124682187813,2023-05-31,16.66
NON GAZEIFIES,BOISSONS CHOCOLATEES,f_f_2058185941234,f_f_5124682187813,2023-03-19,47.69
BIERES ET PANACHES,BIERES MODERNES,f_f_9244818502016,f_f_5124682187813,2023-07-30,45.31
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_4033372207452,f_f_5124682187813,2023-07-25,8.4
NON GAZEIFIES,BOISSONS ENERGISANTES,f_f_2543732827364,f_f_5124682187813,2023-03-25,8.65
MOUSSEUX/VINS PETILL.,MOUSSEUX-VINS PETILLANTS,f_f_4657449541036,f_f_5124682187813,2023-08-09,8.37
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_9223257193566,f_f_5124682187813,2023-08-21,5.7
APERITIFS,SANS ALCOOL,f_f_1322894027376,f_f_5124682187813,2023-05-26,26.22
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_5913053905060,f_f_5124682187813,2023-01-21,33.17
VQPRD ROSES,BORDEAUX,f_f_3513933287112,f_f_5124682187813,2023-07-17,4.79
EAUX AROMATISEES,EAUX ARO GAZEUSE ET GAZEIFIEE,f_f_9781001266923,f_f_5124682187813,2023-01-05,48.54
APERITIFS,CREMES DE FRUITS,f_f_6670575057576,f_f_5124682187813,2023-03-02,5.37
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_9175785747950,f_f_5124682187813,2023-09-04,13.79
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_3467432783814,f_f_5124682187813,2023-03-04,37.9
NON GAZEIFIES,BOISSONS CHOCOLATEES,f_f_8600871504397,f_f_5124682187813,2023-09-20,5.47
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_6187837745695,f_f_5124682187813,2023-03-28,48.52
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_8878576144747,f_f_5124682187813,2023-05-30,32.8
VQPRD BLANCS,VINS D ALSACE,f_f_5492236392328,f_f_5124682187813,2023-04-12,10.61
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_0944978486650,f_f_5124682187813,2023-04-01,30.6
CIDRES,CIDRES/PETILLANTS,f_f_2858165326033,f_f_5124682187813,2023-09-06,7.0
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_1209088509064,f_f_5124682187813,2023-08-02,21.57
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_4298759169109,f_f_5124682187813,2023-03-29,35.83
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_1553444271790,f_f_5124682187813,2023-07-02,42.56
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_3827304591426,f_f_5124682187813,2023-02-10,44.85
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_9883992747457,f_f_5124682187813,2023-07-14,13.19
ALCOOLS,PUNCHS,f_f_8850333642871,f_f_5124682187813,2023-03-06,17.33
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_6945774202455,f_f_5124682187813,2023-02-05,50.54
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_2305147583255,f_f_5124682187813,2023-03-03,6.52
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_5650273042228,f_f_5124682187813,2023-06-24,33.37
VQPRD ROUGES/HORS BORDEAUX,VINS DU BEAUJOLAIS,f_f_0713669798934,f_f_5124682187813,2023-02-22,20.04
APERITIFS,SANS ALCOOL,f_f_0096679393505,f_f_5124682187813,2023-09-04,4.18
EAUX PLATES,EAUX PLATES,f_f_9971145245964,f_f_5124682187813,2023-07-05,34.84
APERITIFS,AMERS - GENTIANE ET BITTERS,f_f_4100496821489,f_f_5124682187813,2023-10-06,31.96
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_3312855596421,f_f_5124682187813,2023-08-24,1.46
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_2347182737354,f_f_5124682187813,2023-09-02,23.07
